Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997859999998
FDW14,OUT017,1435.9121343749996
NCN55,OUT010,584.7577647727272
FDQ58,OUT017,2649.110232432432
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.8820884848483
FDN33,OUT045,1879.257011612902
FDA36,OUT017,2752.9709346534664
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1435.9121343749996
NCC54,OUT019,584.7577647727272
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2286.413267368421
FDI57,OUT045,3130.0049049504946
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2778.5893175257743
NCJ31,OUT035,3737.2957751824806
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.48208181818177
FDS10,OUT035,3384.1080642424236
FDX22,OUT010,584.7577647727272
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2503.501336448598
DRC27,OUT046,3643.519725984251
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.0464036697251
FDU31,OUT027,5329.314724444445
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444445
FDS49,OUT027,2517.8820884848483
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2939.3484761904774
NCD43,OUT027,2517.8820884848483
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2778.5893175257743
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727272
FDC26,OUT013,1649.2997859999998
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3384.1080642424236
FDF41,OUT035,3737.2957751824806
FDU34,OUT046,1987.2510486486474
DRH11,OUT046,935.0323883040941
FDM03,OUT013,1461.843795999999
FDS31,OUT017,3384.1080642424236
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444445
FDG02,OUT049,2752.9709346534664
FDA09,OUT013,3259.5620849056613
FDT04,OUT013,507.0464036697251
FDL58,OUT019,584.7577647727272
FDE52,OUT045,1435.9121343749996
FDW12,OUT035,2286.413267368421
FDL51,OUT017,3643.519725984251
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1573.0706258064517
FDN40,OUT045,2286.413267368421
FDB35,OUT027,2517.8820884848483
FDA22,OUT017,2286.413267368421
NCL06,OUT046,4034.3003068965513
FDI35,OUT013,3384.1080642424236
NCW42,OUT045,4340.218358415842
NCX06,OUT049,2778.5893175257743
FDC37,OUT027,2517.8820884848483
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549297
NCG06,OUT045,4034.3003068965513
DRC36,OUT045,3259.5620849056613
FDV21,OUT019,281.48208181818177
FDB53,OUT046,3053.0998777777777
DRP47,OUT019,584.7577647727272
FDA14,OUT013,3053.0998777777777
DRC24,OUT035,2644.4778427083347
FDW21,OUT018,1372.6884907407405
NCH29,OUT046,1682.2122382352936
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2552.0052351851864
FDV56,OUT035,1682.2122382352936
FDT59,OUT046,3945.432567213116
FDB23,OUT046,3945.432567213116
FDR49,OUT045,798.2176035398231
FDB03,OUT010,584.7577647727272
FDN39,OUT045,2453.7477006993
FDX02,OUT027,5329.314724444445
FDQ16,OUT027,2517.8820884848483
FDU35,OUT018,1372.6884907407405
NCT29,OUT013,1987.2510486486474
FDZ27,OUT046,798.2176035398231
FDN57,OUT017,2309.200798000001
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.1080642424236
NCU05,OUT013,1284.789766871165
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.843795999999
FDZ25,OUT017,3053.0998777777777
FDG12,OUT046,2243.669596721312
DRB01,OUT019,482.6995426229507
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727272
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.95258292683
FDB33,OUT010,346.8972837209304
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.91858165137623
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1879.257011612902
DRL23,OUT027,2517.8820884848483
