
Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1854.0
FDW14,OUT017,1581.0
NCN55,OUT010,1890.0
FDQ58,OUT017,2611.0
FDY38,OUT027,5179.0
FDH56,OUT046,1917.0
FDL48,OUT018,597.0
FDC48,OUT027,2779.0
FDN33,OUT045,1508.0
FDA36,OUT017,3081.0
FDT44,OUT017,1999.0
FDQ56,OUT045,1305.0
NCC54,OUT019,1848.0
FDU11,OUT049,2047.0
DRL59,OUT013,888.0
FDM24,OUT049,2559.0
FDI57,OUT045,3086.0
DRC12,OUT018,2764.0
NCM42,OUT027,3194.0
FDA46,OUT010,1136.0
FDA31,OUT013,2797.0
NCJ31,OUT035,3880.0
FDG52,OUT046,806.0
NCL19,OUT019,373.0
FDS10,OUT035,3027.0
FDX22,OUT010,1449.0
NCF19,OUT035,916.0
NCE06,OUT046,2530.0
DRC27,OUT046,3844.0
FDE21,OUT035,2025.0
NCR42,OUT019,-1359.0
FDX51,OUT018,2862.0
NCR06,OUT018,429.0
FDU31,OUT027,4940.0
FDU59,OUT017,2713.0
FDR03,OUT027,4767.0
FDS49,OUT027,2763.0
FDD48,OUT010,-71.0
NCF18,OUT017,3113.0
NCD43,OUT027,3101.0
NCD54,OUT018,1991.0
FDY19,OUT010,-34.0
NCY54,OUT017,2813.0
NCL19,OUT018,2023.0
FDP23,OUT010,1535.0
FDC26,OUT013,1817.0
FDR14,OUT010,-1036.0
NCS41,OUT035,3036.0
FDF41,OUT035,4042.0
FDU34,OUT046,2005.0
DRH11,OUT046,922.0
FDM03,OUT013,1763.0
FDS31,OUT017,3049.0
FDJ20,OUT017,2093.0
FDV44,OUT027,4495.0
FDG02,OUT049,3103.0
FDA09,OUT013,2909.0
FDT04,OUT013,691.0
FDL58,OUT019,2290.0
FDE52,OUT045,1452.0
FDW12,OUT035,2503.0
FDL51,OUT017,3549.0
NCY42,OUT027,3689.0
FDR07,OUT017,1661.0
FDN40,OUT045,2372.0
FDB35,OUT027,2951.0
FDA22,OUT017,2743.0
NCL06,OUT046,4112.0
FDI35,OUT013,2916.0
NCW42,OUT045,3410.0
NCX06,OUT049,2935.0
FDC37,OUT027,3195.0
FDZ14,OUT018,1727.0
DRG49,OUT049,3948.0
NCG06,OUT045,3957.0
DRC36,OUT045,2718.0
FDV21,OUT019,62.0
FDB53,OUT046,2361.0
DRP47,OUT019,2041.0
FDA14,OUT013,2352.0
DRC24,OUT035,2568.0
FDW21,OUT018,1413.0
NCH29,OUT046,1558.0
FDU58,OUT013,3076.0
FDY27,OUT017,2947.0
FDV56,OUT035,1948.0
FDT59,OUT046,3657.0
FDB23,OUT046,3621.0
FDR49,OUT045,697.0
FDB03,OUT010,1911.0
FDN39,OUT045,2614.0
FDX02,OUT027,4987.0
FDQ16,OUT027,3191.0
FDU35,OUT018,1343.0
NCT29,OUT013,1957.0
FDZ27,OUT046,831.0
FDN57,OUT017,2347.0
FDA03,OUT018,2099.0
FDZ36,OUT045,2917.0
NCU05,OUT013,1321.0
FDT39,OUT018,2179.0
FDK60,OUT017,1723.0
FDZ25,OUT017,2857.0
FDG12,OUT046,2037.0
DRB01,OUT019,1125.0
NCC43,OUT027,5379.0
FDX13,OUT019,2032.0
FDM22,OUT049,1029.0
FDJ03,OUT027,2307.0
FDU14,OUT018,3677.0
FDB33,OUT010,627.0
FDP27,OUT046,3007.0
FDO38,OUT010,-667.0
FDE28,OUT027,5153.0
FDO27,OUT035,1702.0
DRL23,OUT027,3169.0
FDS28,OUT046,965.0
FDX24,OUT013,1547.0
FDZ02,OUT035,1746.0
FDL46,OUT045,1810.0
FDS60,OUT027,4297.0
NCO06,OUT017,639.0
FDO16,OUT035,1528.0
FDC60,OUT049,1539.0
FDA48,OUT018,3199.0
FDZ36,OUT027,4453.0
FDK27,OUT045,1875.0
FDW23,OUT018,379.0
FDM14,OUT018,1510.0
FDM14,OUT013,1787.0
FDW60,OUT018,2602.0
FDE21,OUT013,1909.0
NCM42,OUT035,1882.0
FDY59,OUT010,-371.0
DRI49,OUT049,1383.0
FDT28,OUT019,508.0
FDQ22,OUT018,409.0
FDR60,OUT049,1337.0
FDC50,OUT019,-394.0
FDV24,OUT013,2457.0
DRF48,OUT010,1028.0
FDQ47,OUT046,641.0
DRN36,OUT049,1664.0
NCY06,OUT035,2175.0
FDE52,OUT035,1658.0
NCB54,OUT045,1935.0
NCF31,OUT035,2549.0
FDJ08,OUT027,4450.0
NCC07,OUT017,1789.0
NCD19,OUT027,2359.0
FDL46,OUT049,2013.0
FDM20,OUT045,3831.0
NCI06,OUT010,921.0
DRM11,OUT035,4219.0
NCH07,OUT018,2207.0
FDS23,OUT013,2083.0
FDO49,OUT018,599.0
FDS35,OUT049,1166.0
DRK39,OUT045,1274.0
DRI39,OUT049,1039.0
FDV04,OUT017,2641.0
NCN14,OUT035,3010.0
FDH08,OUT013,3687.0
FDS20,OUT046,2913.0
FDV40,OUT049,1358.0
FDZ48,OUT010,-138.0
FDS24,OUT027,2911.0
FDK44,OUT049,2863.0
FDS48,OUT045,2340.0
FDK26,OUT010,1105.0
FDD23,OUT045,2968.0
NCH54,OUT017,2639.0
NCP14,OUT010,-246.0
FDM60,OUT010,-1181.0
FDV24,OUT017,2525.0
FDH08,OUT018,3345.0
FDS12,OUT027,3466.0
FDR39,OUT027,4320.0
FDP12,OUT027,2125.0
DRF60,OUT027,5188.0
FDC09,OUT035,1848.0
FDF50,OUT018,2887.0
FDG28,OUT035,4053.0
NCE19,OUT017,987.0
NCM53,OUT010,-197.0
NCN18,OUT049,1852.0
FDF32,OUT035,3317.0
FDF11,OUT013,3869.0
DRI59,OUT049,3663.0
NCG54,OUT035,2812.0
FDM44,OUT046,1639.0
FDT57,OUT018,3465.0
