
Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.4323129186605
FDW14,OUT017,1364.0491539906106
NCN55,OUT010,542.9755395973148
FDQ58,OUT017,2384.015126168225
FDY38,OUT027,5669.163351428569
FDH56,OUT046,1874.4309598591553
FDL48,OUT018,754.5960957264956
FDC48,OUT027,2513.0798546666656
FDN33,OUT045,1554.0070756410262
FDA36,OUT017,3087.507511282053
FDT44,OUT017,1874.4309598591553
FDQ56,OUT045,1364.0491539906106
NCC54,OUT019,542.9755395973148
FDU11,OUT049,2054.215706620208
DRL59,OUT013,754.5960957264956
FDM24,OUT049,2384.015126168225
FDI57,OUT045,2880.9695613636372
DRC12,OUT018,2880.9695613636372
NCM42,OUT027,3175.3359881578954
FDA46,OUT010,542.9755395973148
FDA31,OUT013,2736.96842987552
NCJ31,OUT035,3593.141235125448
FDG52,OUT046,754.5960957264956
NCL19,OUT019,286.41777051282054
FDS10,OUT035,2880.9695613636372
FDX22,OUT010,542.9755395973148
NCF19,OUT035,754.5960957264956
NCE06,OUT046,2384.015126168225
DRC27,OUT046,4109.900606217618
FDE21,OUT035,1874.4309598591553
NCR42,OUT019,130.3334905660378
FDX51,OUT018,3087.507511282053
NCR06,OUT018,637.5735090128752
FDU31,OUT027,5669.163351428569
FDU59,OUT017,2384.015126168225
FDR03,OUT027,5669.163351428569
FDS49,OUT027,2513.0798546666656
FDD48,OUT010,286.41777051282054
NCF18,OUT017,2880.9695613636372
NCD43,OUT027,2513.0798546666656
NCD54,OUT018,1936.5082478260867
FDY19,OUT010,286.41777051282054
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2346.648786938775
FDP23,OUT010,542.9755395973148
FDC26,OUT013,1722.331611173185
FDR14,OUT010,130.3334905660378
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3593.141235125448
FDU34,OUT046,2054.215706620208
DRH11,OUT046,876.3205797979803
FDM03,OUT013,1722.331611173185
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,2054.215706620208
FDV44,OUT027,5669.163351428569
FDG02,OUT049,3087.507511282053
FDA09,OUT013,2736.96842987552
FDT04,OUT013,637.5735090128752
FDL58,OUT019,542.9755395973148
FDE52,OUT045,1364.0491539906106
FDW12,OUT035,2384.015126168225
FDL51,OUT017,3753.000099363056
NCY42,OUT027,3175.3359881578954
FDR07,OUT017,1554.0070756410262
FDN40,OUT045,2384.015126168225
FDB35,OUT027,2513.0798546666656
FDA22,OUT017,2384.015126168225
NCL06,OUT046,4333.8915159235685
FDI35,OUT013,3389.2269793548367
NCW42,OUT045,3753.000099363056
NCX06,OUT049,2736.96842987552
FDC37,OUT027,3175.3359881578954
FDZ14,OUT018,1936.5082478260867
DRG49,OUT049,3593.141235125448
NCG06,OUT045,4105.140110975608
DRC36,OUT045,2997.4076790419153
FDV21,OUT019,286.41777051282054
FDB53,OUT046,2539.394235877861
DRP47,OUT019,542.9755395973148
FDA14,OUT013,2346.648786938775
DRC24,OUT035,2539.394235877861
FDW21,OUT018,1509.4323129186605
NCH29,OUT046,1554.0070756410262
FDU58,OUT013,3087.507511282053
FDY27,OUT017,2736.96842987552
FDV56,OUT035,1722.331611173185
FDT59,OUT046,4109.900606217618
FDB23,OUT046,3753.000099363056
FDR49,OUT045,754.5960957264956
FDB03,OUT010,542.9755395973148
FDN39,OUT045,2811.181403212852
FDX02,OUT027,5669.163351428569
FDQ16,OUT027,3175.3359881578954
FDU35,OUT018,1509.4323129186605
NCT29,OUT013,1936.5082478260867
FDZ27,OUT046,754.5960957264956
FDN57,OUT017,2054.215706620208
FDA03,OUT018,2346.648786938775
FDZ36,OUT045,3389.2269793548367
NCU05,OUT013,1248.2233455555559
FDT39,OUT018,2346.648786938775
FDK60,OUT017,1554.0070756410262
FDZ25,OUT017,2811.181403212852
FDG12,OUT046,2202.2990201117304
DRB01,OUT019,542.9755395973148
NCC43,OUT027,5669.163351428569
FDX13,OUT019,542.9755395973148
FDM22,OUT049,876.3205797979803
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,384.48867398374017
FDP27,OUT046,3087.507511282053
FDO38,OUT010,130.3334905660378
FDE28,OUT027,5669.163351428569
FDO27,OUT035,1554.0070756410262
DRL23,OUT027,3175.3359881578954
FDS28,OUT046,876.3205797979803
FDX24,OUT013,1248.2233455555559
FDZ02,OUT035,1554.0070756410262
FDL46,OUT045,1874.4309598591553
FDS60,OUT027,5669.163351428569
NCO06,OUT017,552.5502107784429
FDO16,OUT035,1364.0491539906106
FDC60,OUT049,1443.524701863354
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5669.163351428569
FDK27,OUT045,2202.2990201117304
FDW23,OUT018,637.5735090128752
FDM14,OUT018,1509.4323129186605
FDM14,OUT013,1722.331611173185
FDW60,OUT018,2736.96842987552
FDE21,OUT013,1874.4309598591553
NCM42,OUT035,1722.331611173185
FDY59,OUT010,230.00859181286546
DRI49,OUT049,1248.2233455555559
FDT28,OUT019,384.48867398374017
FDQ22,OUT018,637.5735090128752
FDR60,OUT049,1248.2233455555559
FDC50,OUT019,230.00859181286546
FDV24,OUT013,2346.648786938775
DRF48,OUT010,542.9755395973148
FDQ47,OUT046,552.5502107784429
DRN36,OUT049,1509.4323129186605
NCY06,OUT035,2054.215706620208
FDE52,OUT035,1364.0491539906106
NCB54,OUT045,2054.215706620208
NCF31,OUT035,2539.394235877861
FDJ08,OUT027,5669.163351428569
NCC07,OUT017,1722.331611173185
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1874.4309598591553
FDM20,OUT045,4109.900606217618
NCI06,OUT010,384.48867398374017
DRM11,OUT035,4333.8915159235685
NCH07,OUT018,2346.648786938775
FDS23,OUT013,1936.5082478260867
FDO49,OUT018,754.5960957264956
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1364.0491539906106
DRI39,OUT049,876.3205797979803
FDV04,OUT017,2384.015126168225
NCN14,OUT035,2880.9695613636372
FDH08,OUT013,4109.900606217618
FDS20,OUT046,3389.2269793548367
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,230.00859181286546
FDS24,OUT027,2513.0798546666656
FDK44,OUT049,2997.4076790419153
FDS48,OUT045,2539.394235877861
FDK26,OUT010,542.9755395973148
FDD23,OUT045,3087.507511282053
NCH54,OUT017,2811.181403212852
NCP14,OUT010,230.00859181286546
FDM60,OUT010,130.3334905660378
FDV24,OUT017,2384.015126168225
FDH08,OUT018,3327.9525829268287
FDS12,OUT027,3175.3359881578954
FDR39,OUT027,5669.163351428569
FDP12,OUT027,1378.2631852760744
DRF60,OUT027,5669.163351428569
FDC09,OUT035,1722.331611173185
FDF50,OUT018,3087.507511282053
FDG28,OUT035,4109.900606217618
NCE19,OUT017,876.3205797979803
NCM53,OUT010,230.00859181286546
NCN18,OUT049,1509.4323129186605
FDF32,OUT035,3087.507511282053
FDF11,OUT013,4109.900606217618
DRI59,OUT049,3753.000099363056
NCG54,OUT035,2811.181403212852
FDM44,OUT046,1722.331611173185
FDT57,OUT018,3327.9525829268287
FDV24,OUT046,2384.015126168225
FDI50,OUT019,542.9755395973148
FDS09,OUT035,754.5960957264956
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,542.9755395973148
FDC22,OUT017,3087.507511282053
FDZ56,OUT046,2811.181403212852
FDZ40,OUT019,130.3334905660378
FDS46,OUT027,3175.3359881578954
DRD24,OUT045,2202.2990201117304
FDV45,OUT017,3087.507511282053
FDL26,OUT045,2539.394235877861
FDA56,OUT018,1936.5082478260867
FDN27,OUT046,1874.4309598591553
FDM20,OUT049,4109.900606217618
FDO16,OUT017,1364.0491539906106
FDL03,OUT035,2880.9695613636372
FDE58,OUT046,1874.4309598591553
FDI02,OUT027,3175.3359881578954
NCC55,OUT019,130.3334905660378
FDR03,OUT018,3327.9525829268287
FDB14,OUT017,1364.0491539906106
FDR45,OUT013,4109.900606217618
NCN07,OUT017,2202.2990201117304
FDM51,OUT019,230.00859181286546
FDT52,OUT027,5669.163351428569
FDL26,OUT046,2539.394235877861
NCZ42,OUT046,4109.900606217618
DRI47,OUT019,384.48867398374017
FDW40,OUT013,1936.5082478260867
FDN34,OUT046,2811.181403212852
FDS01,OUT035,2736.96842987552
NCG55,OUT045,1874.4309598591553
FDC11,OUT035,1364.0491539906106
FDX35,OUT018,3327.9525829268287
NCB06,OUT046,2811.181403212852
FDR09,OUT019,542.9755395973148
FDC53,OUT017,1554.0070756410262
FDY45,OUT013,4105.140110975608
FDA22,OUT010,384.48867398374017
FDE02,OUT035,1554.0070756410262
FDW21,OUT045,1722.331611173185
FDV34,OUT046,1103.1862133333336
FDS59,OUT049,1509.4323129186605
NCW17,OUT017,2202.2990201117304
NCK54,OUT046,1874.4309598591553
FDG17,OUT019,542.9755395973148
FDG35,OUT017,2997.4076790419153
FDD08,OUT010,130.3334905660378
NCO07,OUT017,3753.000099363056
FDJ10,OUT010,286.41777051282054
FDW36,OUT017,1722.331611173185
FDW21,OUT010,230.00859181286546
FDY19,OUT017,1874.4309598591553
DRE03,OUT013,754.5960957264956
NCC55,OUT049,637.5735090128752
FDH52,OUT010,130.3334905660378
FDO09,OUT017,4105.140110975608
FDU43,OUT045,4109.900606217618
FDX09,OUT010,384.48867398374017
FDH40,OUT019,230.00859181286546
FDW58,OUT017,1722.331611173185
FDC47,OUT017,3593.141235125448
NCR41,OUT035,1554.0070756410262
DRG49,OUT035,3593.141235125448
FDC52,OUT027,4117.317712631579
FDY13,OUT046,1103.1862133333336
FDY35,OUT013,637.5735090128752
FDI35,OUT017,3389.2269793548367
NCU18,OUT049,2054.215706620208
FDY33,OUT018,2346.648786938775
FDC15,OUT027,4117.317712631579
FDU01,OUT049,2880.9695613636372
NCU42,OUT046,2811.181403212852
NCV29,OUT018,2736.96842987552
NCY30,OUT017,2880.9695613636372
FDQ46,OUT049,1509.4323129186605
FDG58,OUT027,4117.317712631579
FDK33,OUT017,3753.000099363056
NCD07,OUT045,1874.4309598591553
NCX29,OUT027,4117.317712631579
NCT42,OUT013,2346.648786938775
DRN59,OUT035,754.5960957264956
FDI44,OUT035,1364.0491539906106
FDA45,OUT049,2736.96842987552
FDP31,OUT045,1103.1862133333336
FDY01,OUT046,1874.4309598591553
FDT09,OUT018,1936.5082478260867
DRH03,OUT027,2513.0798546666656
FDA36,OUT018,3087.507511282053
NCF31,OUT017,2539.394235877861
FDG14,OUT049,2539.394235877861
FDG28,OUT027,5669.163351428569
FDU14,OUT049,4105.140110975608
FDY47,OUT019,286.41777051282054
FDI56,OUT049,1443.524701863354
DRD01,OUT013,876.3205797979803
FDM22,OUT046,876.3205797979803
FDH33,OUT013,637.5735090128752
DRZ24,OUT013,1874.4309598591553
NCQ38,OUT046,1722.331611173185
FDO16,OUT027,2513.0798546666656
FDU07,OUT027,4117.317712631579
NCB07,OUT013,2880.9695613636372
FDU48,OUT045,2054.215706620208
NCM43,OUT045,2811.181403212852
FDR31,OUT010,384.48867398374017
DRK49,OUT018,637.5735090128752
NCI30,OUT010,542.9755395973148
DRD60,OUT017,3389.2269793548367
NCG19,OUT046,3593.141235125448
FDH12,OUT035,1722.331611173185
FDM32,OUT035,1364.0491539906106
FDM27,OUT035,2539.394235877861
NCU53,OUT027,4117.317712631579
NCQ18,OUT046,1554.0070756410262
FDS10,OUT013,2736.96842987552
FDB33,OUT027,4117.317712631579
FDI12,OUT013,1248.2233455555559
NCW42,OUT013,3753.000099363056
NCC06,OUT018,1936.5082478260867
FDW02,OUT017,2202.2990201117304
NCD43,OUT017,1722.331611173185
FDM57,OUT018,1248.2233455555559
FDA58,OUT017,3593.141235125448
FDK56,OUT046,3389.2269793548367
FDP52,OUT045,4109.900606217618
FDW20,OUT018,1936.5082478260867
FDS52,OUT049,1509.4323129186605
NCT29,OUT018,1936.5082478260867
NCL54,OUT013,2736.96842987552
FDC05,OUT045,3087.507511282053
FDF34,OUT035,3087.507511282053
FDP03,OUT027,3175.3359881578954
FDD32,OUT010,230.00859181286546
FDZ10,OUT045,2054.215706620208
FDZ40,OUT035,876.3205797979803
FDD51,OUT018,637.5735090128752
NCY30,OUT019,384.48867398374017
FDP58,OUT017,3593.141235125448
FDV49,OUT017,4333.8915159235685
FDY24,OUT019,130.3334905660378
NCO55,OUT017,1722.331611173185
FDR13,OUT017,1874.4309598591553
FDS51,OUT017,876.3205797979803
FDP26,OUT045,1722.331611173185
NCB54,OUT027,3175.3359881578954
FDF32,OUT017,3087.507511282053
FDN31,OUT018,3087.507511282053
DRM48,OUT017,552.5502107784429
FDN20,OUT049,2811.181403212852
DRL01,OUT046,3593.141235125448
FDV56,OUT049,1509.4323129186605
DRH13,OUT027,3175.3359881578954
FDA03,OUT017,2539.394235877861
FDF47,OUT027,5669.163351428569
FDX32,OUT046,2539.394235877861
FDX57,OUT049,1509.4323129186605
NCA30,OUT045,2880.9695613636372
FDO49,OUT013,754.5960957264956
FDL04,OUT019,230.00859181286546
DRM48,OUT035,552.5502107784429
FDR16,OUT013,3593.141235125448
NCC19,OUT018,3087.507511282053
NCE42,OUT045,4109.900606217618
FDY24,OUT017,876.3205797979803
FDH19,OUT049,2736.96842987552
FDJ46,OUT013,2997.4076790419153
FDN45,OUT010,542.9755395973148
FDY08,OUT035,2054.215706620208
FDZ37,OUT035,1364.0491539906106
NCT30,OUT045,754.5960957264956
DRY23,OUT018,637.5735090128752
NCZ30,OUT018,1936.5082478260867
FDC44,OUT018,1874.4309598591553
FDB45,OUT035,1722.331611173185
FDY04,OUT013,2346.648786938775
FDM27,OUT046,2811.181403212852
FDZ43,OUT017,4109.900606217618
FDT39,OUT019,384.48867398374017
NCC06,OUT019,286.41777051282054
FDL15,OUT027,4117.317712631579
FDL57,OUT017,4333.8915159235685
FDU08,OUT046,1554.0070756410262
FDK40,OUT017,4105.140110975608
FDQ12,OUT010,542.9755395973148
FDS48,OUT017,2539.394235877861
FDP09,OUT045,3753.000099363056
FDW21,OUT049,1509.4323129186605
FDY25,OUT035,3389.2269793548367
DRE13,OUT017,1443.524701863354
FDV43,OUT019,130.3334905660378
FDD22,OUT045,1722.331611173185
FDM46,OUT019,230.00859181286546
NCO30,OUT010,542.9755395973148
FDM25,OUT046,2997.4076790419153
NCN41,OUT049,2054.215706620208
FDU24,OUT045,1364.0491539906106
FDZ50,OUT046,3389.2269793548367
FDP45,OUT013,4333.8915159235685
NCM54,OUT045,2054.215706620208
FDW10,OUT019,384.48867398374017
FDP20,OUT017,2054.215706620208
FDK32,OUT046,2539.394235877861
FDN52,OUT049,1248.2233455555559
FDM58,OUT045,1722.331611173185
FDZ46,OUT027,3175.3359881578954
NCA18,OUT018,1874.4309598591553
FDD35,OUT046,2202.2990201117304
