
Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560252
FDW14,OUT017,1591.7612740786342
NCN55,OUT010,1822.6726586170078
FDQ58,OUT017,2546.3629591573977
FDY38,OUT027,5087.605400109224
FDH56,OUT046,1942.63713021225
FDL48,OUT018,680.8000272442429
FDC48,OUT027,2806.0427441358856
FDN33,OUT045,1541.2477558067721
FDA36,OUT017,3051.675735541095
FDT44,OUT017,2004.9816551032454
FDQ56,OUT045,1358.153340629098
NCC54,OUT019,1819.7081624356429
FDU11,OUT049,2076.7501933506514
DRL59,OUT013,963.7365800429803
FDM24,OUT049,2541.5716064996295
FDI57,OUT045,3047.5751030919687
DRC12,OUT018,2726.590331793126
NCM42,OUT027,3196.322082094336
FDA46,OUT010,1129.086593209294
FDA31,OUT013,2782.8531016284614
NCJ31,OUT035,3802.6708588839983
FDG52,OUT046,863.6967323629394
NCL19,OUT019,383.67497397229283
FDS10,OUT035,2986.4040703131786
FDX22,OUT010,1453.2700642602751
NCF19,OUT035,998.5313152811382
NCE06,OUT046,2519.8296088661205
DRC27,OUT046,3768.6660667896863
FDE21,OUT035,2044.9750562281495
NCR42,OUT019,-1251.1341145471456
FDX51,OUT018,2840.7076836527963
NCR06,OUT018,510.7134768810515
FDU31,OUT027,4872.661618212017
FDU59,OUT017,2684.937811854625
FDR03,OUT027,4667.855182836752
FDS49,OUT027,2769.552144702107
FDD48,OUT010,-11.742853337759584
NCF18,OUT017,3083.50922136491
NCD43,OUT027,3104.414085400248
NCD54,OUT018,2007.827496987775
FDY19,OUT010,23.568113246548023
NCY54,OUT017,2783.2415589678108
NCL19,OUT018,2023.521417526348
FDP23,OUT010,1509.3653428274217
FDC26,OUT013,1848.5794920752444
FDR14,OUT010,-931.0749455928512
NCS41,OUT035,2986.6196676007467
FDF41,OUT035,3971.3364664503188
FDU34,OUT046,2004.5683173136001
DRH11,OUT046,984.1695289641889
FDM03,OUT013,1734.303406405882
FDS31,OUT017,2964.8933269092527
FDJ20,OUT017,2116.7529678965648
FDV44,OUT027,4427.784808962076
FDG02,OUT049,3080.328271401881
FDA09,OUT013,2877.9901004558055
FDT04,OUT013,743.8136889644165
FDL58,OUT019,2224.430519922791
FDE52,OUT045,1472.2979119940564
FDW12,OUT035,2500.3276177547987
FDL51,OUT017,3499.1716317514492
NCY42,OUT027,3669.354199459297
FDR07,OUT017,1704.3865411049335
FDN40,OUT045,2341.9257898901237
FDB35,OUT027,2975.938723178913
FDA22,OUT017,2708.401927647029
NCL06,OUT046,4020.093188584382
FDI35,OUT013,2889.386905085808
NCW42,OUT045,3358.9867537069445
NCX06,OUT049,2926.340846616716
FDC37,OUT027,3208.3154817412355
FDZ14,OUT018,1759.3628553683413
DRG49,OUT049,3880.47204450963
NCG06,OUT045,3875.8374405200043
DRC36,OUT045,2697.4303484146412
FDV21,OUT019,89.20329367236218
FDB53,OUT046,2335.283600362812
DRP47,OUT019,1969.3600466199491
FDA14,OUT013,2346.3123118934727
DRC24,OUT035,2559.4368407748666
FDW21,OUT018,1431.141525256186
NCH29,OUT046,1574.1901419858764
FDU58,OUT013,3038.8499545102063
FDY27,OUT017,2888.586673528194
FDV56,OUT035,1978.6353753250958
FDT59,OUT046,3588.2190445169263
FDB23,OUT046,3557.5198981563985
FDR49,OUT045,760.3217983798748
FDB03,OUT010,1879.1002918477918
FDN39,OUT045,2601.008116477854
FDX02,OUT027,4893.539499114101
FDQ16,OUT027,3196.5764802810168
FDU35,OUT018,1349.3325726460928
NCT29,OUT013,1985.4074128544576
FDZ27,OUT046,871.1855531616725
FDN57,OUT017,2352.0259350435463
FDA03,OUT018,2095.9434563670675
FDZ36,OUT045,2892.9101455455652
NCU05,OUT013,1378.5344023376738
FDT39,OUT018,2199.463258352247
FDK60,OUT017,1722.7099429732382
FDZ25,OUT017,2809.5987327632415
FDG12,OUT046,1996.2641667968114
DRB01,OUT019,1083.3357803119561
NCC43,OUT027,5257.561572088319
FDX13,OUT019,1979.857354598278
FDM22,OUT049,1099.9470861104892
FDJ03,OUT027,2354.4228412884263
FDU14,OUT018,3604.6800005478603
FDB33,OUT010,672.5769401362743
FDP27,OUT046,2975.1934067615766
FDO38,OUT010,-582.7923496414318
FDE28,OUT027,5039.563589210014
FDO27,OUT035,1728.2847298513586
DRL23,OUT027,3168.9509894147445
FDS28,OUT046,1027.0683487085087
FDX24,OUT013,1576.8218839850088
FDZ02,OUT035,1784.0734724042347
FDL46,OUT045,1839.2554744810388
FDS60,OUT027,4250.4093362383
NCO06,OUT017,717.6465905641755
FDO16,OUT035,1575.604240547301
FDC60,OUT049,1593.7200437221397
FDA48,OUT018,3143.3858700772066
FDZ36,OUT027,4385.028482398674
FDK27,OUT045,1908.42898426102
FDW23,OUT018,471.6325537035451
FDM14,OUT018,1541.1823508090115
FDM14,OUT013,1815.3528147796885
FDW60,OUT018,2582.1162522474697
FDE21,OUT013,1937.8367449367743
NCM42,OUT035,1909.629563140406
FDY59,OUT010,-325.2766424478024
DRI49,OUT049,1411.6164616201554
FDT28,OUT019,537.207192321844
FDQ22,OUT018,492.4516104473257
FDR60,OUT049,1379.3844046079046
FDC50,OUT019,-340.2531082544465
FDV24,OUT013,2420.169634351458
DRF48,OUT010,1114.893648494423
